        c12         c13         c14 
  3.9250011   5.5540009   6.5970001 
  3.4020004   4.5440006   5.5000000 
  4.0419998   5.5830002   6.5720005 
  4.8399982   7.0469990   8.1489983 
  3.3160000   4.4150009   5.4619999 
  4.5009995   6.4309998   7.4589996 
  3.7480011   5.0090008   5.9850006 
  4.2440014   5.7919998   6.8369999 
  4.1089993   5.6070004   6.6049995 
  3.9440002   5.3759995   6.3789997 
  3.6119995   4.9639988   5.9519997 
  3.5359993   4.7450008   5.7570000 
  3.8369999   5.1480007   6.1760006 
  3.6879997   4.9619999   5.9779987 
  4.9220009   6.9420013   7.9930000 
  4.0079994   5.5909996   6.6090012 
  3.7079983   5.0479984   6.1009998 
  3.9679985   5.3769989   6.3739986 
  4.1589985   5.8610001   6.9219990 
  4.4899998   6.2500000   7.3369999 
  4.8789997   6.7989998   7.9069996 
  4.1680012   5.8120003   6.8070011 
  4.4940014   6.1770000   7.1860008 
  3.6959991   4.9939995   5.9669991 
  3.9739990   5.3330002   6.3549995 
  4.0679989   5.4610004   6.5790005 
  4.3029995   6.1650009   7.2220001 
  4.1849995   5.6289997   6.6579990 
  4.5480003   6.4060001   7.4360008 
  4.3450012   5.8980007   6.9720001 
